ID,Name,Age,City,Salary,Experience_Years,Department,Performance_Score
1,Person_1,56,Mumbai,36411,9,Engineering,2.51
2,Person_2,46,Kolkata,27911,2,Finance,1.33
3,Person_3,32,Delhi,92270,7,Data,4.11
4,Person_4,25,Chennai,108763,13,Data,3.23
5,Person_5,38,Mumbai,33680,17,HR,2.7
6,Person_6,56,Mumbai,109896,14,Finance,4.63
7,Person_7,36,Bangalore,108879,1,Engineering,1.44
8,Person_8,40,Hyderabad,96295,9,Sales,2.97
9,Person_9,28,Delhi,113614,1,Sales,1.05
10,Person_10,28,Chennai,36111,16,Engineering,2.87
11,Person_11,41,Bangalore,62504,7,HR,1.23
12,Person_12,53,Hyderabad,26802,0,Sales,1.48
13,Person_13,57,Bangalore,33155,8,Finance,1.47
14,Person_14,41,Kolkata,98656,10,HR,3.6
15,Person_15,20,Hyderabad,64384,15,Finance,3.98
16,Person_16,39,Hyderabad,72254,6,Data,3.33
17,Person_17,19,Delhi,46918,9,HR,4.85
18,Person_18,41,Hyderabad,110981,2,Sales,2.5
19,Person_19,47,Bangalore,85713,17,HR,2.14
20,Person_20,55,Hyderabad,55306,12,HR,4.47
21,Person_21,19,Delhi,41646,6,HR,1.89
22,Person_22,38,Delhi,71843,3,HR,4.85
23,Person_23,50,Kolkata,115735,12,Finance,1.05
24,Person_24,29,Bangalore,41371,19,Data,4.88
25,Person_25,39,Mumbai,102371,0,Engineering,1.17
26,Person_26,42,Mumbai,27049,7,HR,4.56
27,Person_27,44,Hyderabad,56616,13,Sales,3.11
28,Person_28,59,Kolkata,45932,15,HR,4.97
29,Person_29,45,Chennai,54855,13,Sales,1.3
30,Person_30,33,Hyderabad,86434,11,Finance,3.22
31,Person_31,32,Kolkata,97694,18,Sales,4.88
32,Person_32,20,Bangalore,68016,14,Engineering,3.09
33,Person_33,54,Bangalore,32400,1,Data,3.52
34,Person_34,24,Bangalore,67642,1,Sales,3.78
35,Person_35,38,Bangalore,40151,18,Sales,2.82
36,Person_36,26,Bangalore,76407,16,Data,3.51
37,Person_37,56,Kolkata,91690,19,Engineering,3.34
38,Person_38,35,Kolkata,29499,9,HR,4.6
39,Person_39,21,Delhi,31295,5,Sales,1.18
40,Person_40,42,Mumbai,84040,14,Data,2.12
41,Person_41,31,Bangalore,37183,10,Finance,4.8
42,Person_42,26,Chennai,54299,4,Data,4.56
43,Person_43,43,Kolkata,37874,0,Finance,2.82
44,Person_44,19,Chennai,57711,7,Engineering,3.48
45,Person_45,37,Chennai,30539,11,HR,2.11
46,Person_46,45,Chennai,78351,11,Data,1.75
47,Person_47,24,Delhi,86267,4,Sales,2.85
48,Person_48,25,Kolkata,73354,6,Engineering,2.41
49,Person_49,52,Chennai,27557,3,Data,3.33
50,Person_50,31,Bangalore,63360,5,Sales,1.31
51,Person_51,34,Hyderabad,107018,12,Data,4.9
52,Person_52,53,Chennai,27200,19,Finance,4.94
53,Person_53,57,Delhi,93497,14,Data,3.79
54,Person_54,21,Kolkata,71975,2,Data,3.14
55,Person_55,19,Delhi,46357,7,Data,2.24
56,Person_56,23,Chennai,102505,19,Engineering,4.26
57,Person_57,59,Kolkata,27869,15,Data,3.74
58,Person_58,21,Hyderabad,86135,12,Sales,1.65
59,Person_59,46,Chennai,75108,17,Finance,4.64
60,Person_60,35,Delhi,119179,9,Finance,4.29
61,Person_61,43,Mumbai,115272,18,Data,4.8
62,Person_62,51,Bangalore,63467,16,Engineering,3.9
63,Person_63,27,Delhi,48328,18,Engineering,3.45
64,Person_64,53,Kolkata,116412,4,Sales,2.67
65,Person_65,31,Chennai,111831,8,Data,4.73
66,Person_66,48,Bangalore,28987,11,Finance,4.46
67,Person_67,32,Chennai,83871,0,Engineering,1.18
68,Person_68,25,Kolkata,47399,0,Data,1.11
69,Person_69,31,Chennai,71214,14,Engineering,2.51
70,Person_70,40,Mumbai,111416,1,Engineering,4.24
71,Person_71,57,Bangalore,95271,15,Finance,4.95
72,Person_72,38,Bangalore,69064,7,HR,1.6
73,Person_73,33,Kolkata,95091,12,Sales,3.38
74,Person_74,35,Mumbai,65818,0,Sales,2.52
75,Person_75,41,Delhi,70525,15,Finance,4.88
76,Person_76,43,Chennai,44830,6,Engineering,4.37
77,Person_77,42,Hyderabad,42429,4,Data,4.35
78,Person_78,58,Chennai,31893,2,Engineering,2.87
79,Person_79,46,Chennai,104909,11,Finance,2.66
80,Person_80,32,Delhi,72333,15,Sales,2.09
81,Person_81,18,Chennai,28436,18,Engineering,1.23
82,Person_82,42,Mumbai,99290,4,Sales,4.46
83,Person_83,24,Mumbai,101213,13,Data,4.25
84,Person_84,26,Bangalore,30895,4,Sales,5.0
85,Person_85,41,Kolkata,44738,14,Sales,4.99
86,Person_86,18,Hyderabad,55746,16,HR,3.22
87,Person_87,25,Chennai,74377,13,HR,4.08
88,Person_88,41,Chennai,73404,19,HR,4.78
89,Person_89,28,Delhi,79045,4,Sales,4.4
90,Person_90,34,Kolkata,64790,11,Finance,1.99
91,Person_91,25,Mumbai,30600,15,Sales,2.8
92,Person_92,52,Hyderabad,119660,15,Finance,1.52
93,Person_93,52,Bangalore,118179,6,Finance,4.82
94,Person_94,50,Mumbai,65764,3,HR,3.42
95,Person_95,22,Kolkata,99543,0,Engineering,1.91
96,Person_96,59,Bangalore,70714,4,Data,3.69
97,Person_97,56,Delhi,81835,9,HR,3.47
98,Person_98,58,Delhi,98744,4,HR,2.43
99,Person_99,45,Chennai,81491,3,Engineering,1.45
100,Person_100,24,Kolkata,43589,1,Data,3.69
101,Person_101,26,Hyderabad,68484,19,Sales,3.08
102,Person_102,25,Bangalore,107989,9,Sales,4.09
103,Person_103,29,Mumbai,61212,18,HR,3.08
104,Person_104,51,Kolkata,68525,0,Data,4.41
105,Person_105,50,Kolkata,72202,4,HR,3.21
106,Person_106,40,Delhi,57635,12,Finance,3.24
107,Person_107,41,Chennai,88208,3,HR,4.51
108,Person_108,54,Chennai,58828,15,HR,2.61
109,Person_109,52,Bangalore,43711,15,Sales,1.54
110,Person_110,57,Delhi,28420,1,Sales,1.12
111,Person_111,39,Kolkata,25301,16,Sales,4.02
112,Person_112,44,Hyderabad,70236,19,Finance,3.48
113,Person_113,52,Delhi,91235,11,Sales,3.82
114,Person_114,18,Bangalore,79240,17,Data,1.85
115,Person_115,52,Bangalore,90726,2,Engineering,1.55
116,Person_116,54,Delhi,35492,0,Data,1.06
117,Person_117,31,Bangalore,31102,0,Data,2.4
118,Person_118,20,Delhi,75336,18,Sales,3.36
119,Person_119,18,Mumbai,110314,10,Engineering,2.57
120,Person_120,22,Delhi,51641,4,Engineering,2.75
